
0it [00:00, ?it/s]----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/hi_l/plik_lite/plik_lite_v22_TTTEEE.clik' on test data. got -292.286 expected -292.286 (diff -3.86223e-09)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/low_l/commander/commander_dx12_v3_2_29.clik' on test data. got -11.6257 expected -11.6257 (diff 1.02746e-06)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/low_l/simall/simall_100x143_offlike5_EE_Aplanck_B.clik' on test data. got -197.99 expected -197.99 (diff -4.1778e-08)
----
----
clipy_0.15
Checking likelihood '/Users/mpetr/Documents/Codex/2026-08-27/poi/work/planck2018_materialized/data/planck_2018/baseline/plc_3.0/lensing/smicadx12_Dec5_ftl_mv2_ndclpp_p_teb_consext8.clik_lensing' on test data. got -4.42102
----

1it [07:15, 435.35s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 1 | eff(%):  0.398 | loglstar: -198200.515 | logz: -198206.734 +/-  0.158 | dlogz:    inf >  0.300]
  5%|▌         | 29/536 [08:08<15:32,  1.84s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 31 | eff(%): 10.320 | loglstar: -51339.713 | logz: -51346.044 +/-  0.159 | dlogz: 50229.339 >  0.300]
  6%|▌         | 30/514 [08:09<14:58,  1.86s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 32 | eff(%): 10.638 | loglstar: -51140.346 | logz: -51146.681 +/-  0.159 | dlogz: 49619.750 >  0.300]
  6%|▌         | 31/530 [08:11<15:08,  1.82s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 33 | eff(%): 10.954 | loglstar: -49684.691 | logz: -49691.029 +/-  0.159 | dlogz: 49420.383 >  0.300]
  6%|▌         | 32/530 [08:13<14:42,  1.77s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 34 | eff(%): 11.268 | loglstar: -47279.497 | logz: -47285.839 +/-  0.159 | dlogz: 47964.728 >  0.300]
  6%|▋         | 33/514 [08:14<13:51,  1.73s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 35 | eff(%): 11.579 | loglstar: -47058.981 | logz: -47065.327 +/-  0.159 | dlogz: 45559.534 >  0.300]
  6%|▌         | 34/549 [08:16<15:05,  1.76s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 36 | eff(%): 11.888 | loglstar: -45841.890 | logz: -45848.240 +/-  0.159 | dlogz: 45339.017 >  0.300]
  6%|▌         | 35/574 [08:18<15:14,  1.70s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 37 | eff(%): 12.195 | loglstar: -43957.508 | logz: -43963.862 +/-  0.159 | dlogz: 44121.927 >  0.300]
  6%|▌         | 36/608 [08:20<16:06,  1.69s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 38 | eff(%): 12.500 | loglstar: -43196.373 | logz: -43202.731 +/-  0.159 | dlogz: 42237.545 >  0.300]
  7%|▋         | 37/544 [08:21<14:15,  1.69s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 39 | eff(%): 12.803 | loglstar: -42899.419 | logz: -42905.781 +/-  0.159 | dlogz: 41476.410 >  0.300]
  7%|▋         | 38/517 [08:23<13:21,  1.67s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 40 | eff(%): 13.103 | loglstar: -42362.950 | logz: -42369.316 +/-  0.159 | dlogz: 41179.456 >  0.300]
  8%|▊         | 39/520 [08:25<13:53,  1.73s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 41 | eff(%): 13.402 | loglstar: -41798.996 | logz: -41805.366 +/-  0.159 | dlogz: 40642.987 >  0.300]
  7%|▋         | 40/545 [08:26<14:30,  1.72s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 42 | eff(%): 13.699 | loglstar: -41730.812 | logz: -41737.186 +/-  0.160 | dlogz: 40079.033 >  0.300]
  6%|▋         | 41/631 [08:28<16:36,  1.69s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 43 | eff(%): 13.993 | loglstar: -41321.728 | logz: -41328.107 +/-  0.160 | dlogz: 40010.849 >  0.300]
  6%|▌         | 42/753 [08:30<19:35,  1.65s/it, batch: 0 | bound: 0 | nc: 1 | ncall: 44 | eff(%): 14.286 | loglstar: -40846.188 | logz: -40852.570 +/-  0.160 | dlogz: 39601.765 >  0.300]
